estado;Descrip Estado;Regiones;Este/Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
CO;Colorado;4;Oeste
